Nama Obat,Deskripsi Obat,Peringatan Sebelum Mengonsumsi Obat,Dosis dan Aturan Pakai Obat,Efek Samping dan Bahaya Obat,Penyakit sesuai dengan obat,Merek Dagang
Zoledronic Acid,"Zoledronic Acid adalah obat untuk mengatasi kadar kalsium yang terlalu tinggi di dalam darah (hiperkalsemia) akibat kanker. Selain itu, zoledronic acid juga digunakan dalam pengobatan osteoporosis pascamenopause, penyakit Paget, atau osteoporosis akibat penggunaan obat kortikosteroid jangka panjang.","Peringatan sebelum Menggunakan Zoledronic Acid Ada beberapa hal yang harus Anda perhatikan sebelum menggunakan zoledronic acid, di antaranya: Beri tahu dokter tentang riwayat alergi yang Anda miliki. Zoledronic acid tidak boleh diberikan kepada pasien yang alergi terhadap obat ini atau obat bisfosfonat lain, seperti clodronate atau ibandronate. Beri tahu dokter jika Anda pernah atau sedang menderita penyakit ginjal, rendahnya kadar kalsium, asma, gangguan elektrolit, malabsorbsi makanan, anemia, dehidrasi, atau gangguan pada gigi dan mulut. Beri tahu dokter jika Anda pernah menjalani operasi tiroid, paratiroid, atau operasi saluran pencernaan. Beri tahu dokter jika Anda sedang hamil, menyusui, atau merencanakan kehamilan. Gunakan alat kontrasepsi yang efektif selama menjalani pengobatan dengan zoledronic acid. Beri tahu dokter bahwa Anda sedang menjalani pengobatan dengan zoledronic acid jika Anda berencana untuk melakukan operasi atau tindakan medis tertentu, termasuk operasi gigi. Jangan mengemudikan kendaraan atau melakukan kegiatan lain yang membutuhkan kewaspadaan setelah menggunakan zoledronic acid, karena obat ini dapat menyebabkan pusing. Beri tahu dokter jika Anda sedang mengonsumsi obat, suplemen, atau produk herbal tertentu.","dosis setelah menggunakan zoledronic acid. Dosis dan Aturan Pakai Zoledronic Acid Zoledronic acid akan diberikan melalui suntikan ke pembuluh darah vena (intravena/IV) oleh dokter atau petugas medis di bawah pengawasan dokter. Dosis akan disesuaikan dengan kondisi pasien. Berikut adalah dosis zoledronic acid secara umum untuk orang dewasa berdasarkan kondisi yang ingin ditangani: Kondisi: Hiperkalsemia akibat kanker Dosis 4 mg, diberikan melalui infus selama 15 menit. Pengobatan akan dikombinasikan dengan suplemen kalsium 500 mg dan vitamin D 400 IU per hari. Kondisi: Osteoporosis pada wanita pascamenopause atau akibat penggunaan obat kortikosteroid jangka panjang Dosis 5 mg, diberikan melalui infus selama 15 menit, 1 kali setahun. Pengobatan akan dikombinasikan dengan suplemen kalsium dan vitamin D. Kondisi: Penyakit Paget Dosis 5 mg, diberikan melalui infus selama 15 menit. Pengobatan akan dikombinasikan dengan suplemen kalsium 1.500 mg dan vitamin D 800 IU per hari, selama 2 minggu. Kondisi: Kanker yang sudah menyebar (metastasis) ke tulang Dosis 4 mg, diberikan melalui infus selama 15 menit, tiap 3–4 minggu sekali. Pengobatan akan dikombinasikan dengan suplemen kalsium 500 mg dan vitamin D 400 IU.",,Osteoporosis  hiperkalsemia akibat keganasan  penyakit Paget tulang,"zoledronic acid Bonmet, Fondronic, Zoledronic Acid Monohydrate, Zoltero, Zolenic, Zometa, Zyfoss "
Zolastin,Zolastin adalah obat yang bermanfaat untuk menangani gangguan kecemasan dan gangguan panik. Obat yang mengandung bahan aktif alprazolam 1 mg ini biasanya hanya digunakan untuk pengobatan jangka pendek.,"Peringatan sebelum Mengonsumsi Zolastin Sebelum menggunakan Zolastin, Anda perlu memperhatikan beberapa hal berikut: Beri tahu dokter mengenai riwayat alergi yang Anda miliki. Zolastin tidak boleh digunakan oleh orang yang alergi terhadap alprazolam. Informasikan kepada dokter jika Anda pernah atau sedang menderita penyakit ginjal, glaukoma, myasthenia gravis, penyakit hati, sleep apnea, atau PPOK. Diskusikan dengan dokter mengenai penggunaan Zolastin jika Anda pernah atau sedang mengalami kecanduan alkohol, penyalahgunaan NAPZA, depresi, atau pikiran untuk bunuh diri. Konsultasikan dengan dokter terkait penggunaan Zolastin jika Anda sedang hamil, menyusui, mungkin sedang hamil, atau merencanakan kehamilan. Informasikan kepada dokter jika Anda sedang menggunakan obat lain, termasuk suplemen atau produk herbal.","Dosis dan Aturan Pakai Zolastin Berikut ini adalah dosis umum penggunaan Zolastin berdasarkan kondisi pasien: Kondisi: Gangguan kecemasan Dewasa: 0,75–1,5 mg per hari dalam dosis terpisah. Kondisi: Gangguan panik dengan atau tanpa agoraphobia Dewasa: 0,5–1 mg diminum sebelum tidur atau 0,5 mg, 3 kali sehari.","efek samping. Jangan langsung mengemudi atau melakukan aktivitas lain yang memerlukan kewaspadaan setelah mengonsumsi Zolastin. Obat ini dapat menyebabkan pusing dan kantuk. Segera hentikan konsumsi Zolastin jika Anda hamil, lalu konsultasikan dengan dokter. Segera temui dokter jika mengalami reaksi alergi obat setelah menggunakan Zolastin.",Alergi atau kondisi pernapasan,Zolastin
Zolagel,"Zolagel adalah obat yang bermanfaat untuk mengatasi infeksi jamur pada kulit, seperti kutu air, kurap, panu, atau kandidiasis kulit. Obat ini juga bisa digunakan untuk mengatasi infeksi jamur pada kuku yang ringan.","Peringatan sebelum Menggunakan Zolagel Ada beberapa hal yang harus Anda perhatikan sebelum menggunakan Zolagel, yaitu: Beri tahu dokter mengenai riwayat alergi yang Anda miliki. Obat ini tidak boleh digunakan oleh orang yang alergi terhadap miconazole atau antijamur golongan azole lainnya, seperti ketoconazole dan econazole. Diskusikan dengan dokter mengenai penggunaan Zolagel untuk anak usia 2 tahun. Informasikan kepada dokter jika Anda sedang menderita diabetes, infeksi HIV/AIDS, atau baru saja menjalani kemoterapi. Konsultasikan dengan dokter mengenai penggunaan Zolagel jika area kulit yang terinfeksi jamur luas atau terdapat luka pada kulit. Diskusikan dengan dokter perihal penggunaan Zolagel jika Anda sedang hamil, menyusui, atau merencanakan kehamilan. Beri tahu dokter jika Anda sedang menggunakan obat-obat lain, termasuk suplemen dan produk herbal.","Dosis dan Aturan Pakai Zolagel Berikut adalah dosis umum penggunaan Zolagel berdasarkan kondisi pasien: Kondisi: Infeksi jamur pada kulit (kutu air, tinea cruris, kurap, panu, atau kandidiasis kulit) Dewasa dan anak-anak: Oleskan krim 2 kali sehari ke area yang terinfeksi, selama 2–6 minggu. Lanjutkan penggunaan obat sampai 1 minggu setelah keluhan hilang. Kondisi: Infeksi jamur pada kuku  Dewasa dan anak-anak: Oleskan krim 1–2 kali sehari. Lanjutkan penggunaan obat sampai 10 hari setelah keluhan hilang.","efek samping terhadap janin, tetapi belum ada studi terkontrol pada ibu hamil. Obat ini hanya boleh digunakan jika besarnya manfaat yang diharapkan melebihi besarnya risiko terhadap janin. Zolagel untuk ibu menyusui Zolagel umumnya aman digunakan oleh ibu menyusui selama mengikuti anjuran dokter. Jika Anda perlu menggunakan Zolagel pada puting, oleskan obat ini setelah menyusui dan pastikan area payudara sudah dibersihkan sebelum waktu menyusui berikutnya.",Nyeri atau peradangan (sediaan topikal),Zolagel
Zitanid,"Zitanid adalah obat untuk mengatasi otot tegang yang menyakitkan akibat beragam kondisi, seperti multiple sclerosis hingga stroke. Obat yang mengandung tizanidine ini harus digunakan sesuai resep dokter.","Peringatan Sebelum Mengonsumsi Zitanid Berikut ini adalah beberapa hal yang harus Anda perhatikan sebelum menjalani pengobatan dengan Zitanid: Beri tahu dokter riwayat alergi yang Anda miliki. Zitanid tidak boleh dikonsumsi oleh orang yang memiliki alergi terhadap Beri tahu dokter jika Anda pernah atau sedang menderita penyakit ginjal, penyakit jantung, gangguan mental, tekanan darah rendah, atau penyakit liver. Jangan langsung mengemudi atau melakukan aktivitas lain yang memerlukan kewaspadaan setelah mengonsumsi Zitanid, karena obat ini bisa menyebabkan pusing dan kantuk. Informasikan kepada dokter bahwa Anda sedang mengonsumsi Zitanid jika direncanakan untuk menjalani tindakan medis apa pun, termasuk operasi gigi. Beri tahu dokter jika Anda sedang hamil, menyusui, atau sedang merencanakan kehamilan.","Dosis dan Aturan Pakai Zitanid Zitanid mengandung 2 mg tizanidine. Dosis dan aturan pakai obat ini akan ditentukan oleh dokter berdasarkan kondisi pasien. Berikut adalah dosis umum Zitanid untuk mengatasi otot tegang atau kejang otot Dewasa: Dosis awal 1 tablet, 1 kali sehari. Setelah 3–4 hari, dosis dapat ditingkatkan menjadi 1 tablet, 2–3 kali sehari bila diperlukan. Dosis maksimal tizanidine adalah 36 mg per hari.","efek samping terhadap janin, tetapi belum ada studi terkontrol pada ibu hamil. Obat hanya boleh digunakan jika besarnya manfaat yang diharapkan melebihi besarnya risiko terhadap janin. Belum diketahui secara pasti apakah Zitanid dapat terserap ke dalam ASI. Jika Anda sedang menyusui, jangan mengonsumsi obat ini tanpa persetujuan dokter.",Nyeri otot atau kondisi muskuloskeletal,Zitanid
Zinc Sulphate,"Zinc Sulphate adalah suplemen untuk mencegah atau mengatasi kekurangan (defisiensi) zinc atau seng. Selain itu, suplemen mineral ini juga digunakan dalam pengobatan  diare akut.","Peringatan sebelum Menggunakan Zinc Sulphate Ada beberapa hal yang harus Anda perhatikan sebelum menggunakan suplemen zinc, di antaranya: Beri tahu dokter tentang riwayat alergi yang Anda miliki. Zinc sulphate tidak boleh diberikan kepada seseorang yang alergi terhadap suplemen mineral ini. Beri tahu dokter jika Anda sedang hamil, menyusui, atau merencanakan kehamilan. Batasi konsumsi alkohol selama menjalani pengobatan dengan zinc sulfate, karena bisa menurunkan penyerapkan suplemen ini. Beri tahu dokter jika Anda sedang mengonsumsi obat, suplemen, atau produk herbal lainnya. Beri tahu dokter jika Anda sedang pernah atau menderita penyakit ginjal atau defisiensi tembaga.","dosis setelah mengonsumsi suplemen zinc sulphate. Dosis dan Aturan Pakai Zinc Sulphate Dokter akan menentukan dosis dan durasi penggunaan zinc sulphate sesuai dengan usia dan kondisi pasien. Produk zink tablet umumnya mengandung 54,9 mg zinc sulfate yang setara dengan 20 mg zinc. Sedangkan untuk produk zinc sirop, di dalam 5 ml terkandung 27,45 mg zinc suphate yang setara dengan 10 mg zinc. Secara umum, berikut adalah dosis zinc sesuai kondisi yang ditangani: Kondisi: Defisiensi atau kekurangan zinc Dewasa: 50 mg, 1 kali sehari. Anak usia 1–3 tahun: 5 mg, 1 kali sehari. Anak usia 4–8 tahun: 10 mg, 1 kali sehari Anak usia 9–13 tahun: 10–20 mg, 1 kali sehari. Kondisi: Diare akut Dewasa: 10–20 mg, 1 kali sehari, dengan durasi pengobatan selama 10–14 hari, bahkan ketika diare sudah sembuh. Anak usia <6 bulan: 10 mg, 1 kali sehari dengan durasi pengobatan selama 10–14 hari, bahkan ketika diare sudah sembuh. Anak usia 6–20 bulan: 20 mg, 1 kali sehari dengan durasi pengobatan selama 10–14 hari, bahkan ketika diare sudah sembuh. Angka Kecukupan Gizi Zinc Sulphate  Kebutuhan zinc sulphate dapat dipenuhi melalui makanan, suplemen, atau gabungan keduannya. Angka kecukupan gizi (AKG) yang dianjurkan bervariasi berdasarkan usia dan kondisi kesehatan.","efek samping terhadap janin, tetapi belum ada studi terkontrol pada wanita hamil. Obat ini hanya boleh digunakan jika besarnya manfaat yang diharapkan melebihi besarnya risiko terhadap janin. Zinc Sulphate untuk ibu menyusui Suplemen zinc sulphate dapat terserap ke dalam ASI. Bila Anda sedang menyusui jangan menggunakan obat ini tanpa memberi tahu dokter.",Defisiensi seng  diare pada anak,"zinc sulphate Arkavit C Dez, Airborne Effervescent Lemon Lime, Dipa Vibez C 500, Engran, Frozavit, Glucazinc, Graphace Sirup, Glosmin, Hepachol, Immunpro, Imusive for Adults CDZinc, Konilife Ostegard, Lecozinc, Osteocal Plus, Pregnatab, Pronamil, Retivit Plus, Rebone Forte, Skinfit, VitercomC, Zivita Apa itu Zinc Sulphate Golongan Obat bebas dan obat resep Kategori Suplemen mineral Manfaat Mencegah dan mengatasi defisiensi zinc dan digunakan dalam pengobatan diare akut Dikonsumsi oleh Dewasa, dan anakanak Zinc Sulphate untuk ibu hamil Kategori C Studi pada binatang percobaan memperlihatkan adanya"
Zigat,"Zigat adalah obat untuk mengatasi penyakit akibat infeksi bakteri, mulai dari pneumonia, sinusitis, bronkitis kronis, hingga infeksi kulit yang berat. Zigat berbentuk tablet dan mengandung moxifloxacin.","Peringatan sebelum Mengonsumsi Zigat  Zigat tidak direkomendasikan untuk orang yang usianya <18 tahun. Hal ini karena antibiotik quinolone, seperti moxifloxacin, bisa menyebabkan tendinitis dan tendon robek pada anak yang masih dalam masa pertumbuhan. Hal penting lain yang perlu Anda perhatikan sebelum menjalani terapi dengan Zigat: Beri tahu dokter mengenai riwayat alergi yang Anda miliki. Zigat tidak boleh digunakan oleh orang yang alergi terhadap moxifloxacin, atau obat lain yang tergolong antibiotik jenis quinolone, seperti ofloxacin atau levofloxacin. Informasikan kepada dokter jika Anda memiliki diabetes, aneurisma, hipertensi, atau penyakit jantung. Beri tahu juga jika Anda memiliki aritmia, kelainan pada hasil EKG, atau henti jantung mendadak pada usia muda (baik pada diri sendiri maupun keluarga). Bicarakan terlebih dahulu dengan dokter mengenai penggunaan Zigat jika Anda pernah atau sedang menderita myasthenia gravis, penyakit ginjal, penyakit liver, hipokalemia atau kekurangan kalium, neuropati perifer, atau gangguan mental apa pun, termasuk depresi. Informasikan kepada dokter jika Anda memiliki kelainan genetik tertentu, seperti sindrom Marfan atau sindrom Ehlers-Danlos. Beri tahu juga jika Anda menderita penyakit keturunan, seperti defisiensi G6PD. Diskusikan dengan dokter mengenai manfaat dan risiko dari terapi Zigat jika Anda pernah atau sedang menderita tendinitis maupun bursitis. Pastikan untuk memberi tahu dokter jika Anda memiliki epilepsi atau kondisi lain yang bisa menyebabkan kejang, seperti tumor otak, cedera kepala, atau aterosklerosis di otak. Jangan mengonsumsi Zigat jika Anda sedang hamil atau menyusui. Tanyakan kepada dokter perihal penggunaan obat yang mengandung moxifloxacin jika Anda sedang berencana hamil atau menjalani program kehamilan. Informasikan kepada dokter jika Anda berencana menjalani vaksinasi dalam waktu dekat. Moxifloxacin dalam Zigat bisa menurunkan efektivitas vaksin tertentu. Beri tahu dokter mengenai semua obat yang sedang Anda gunakan, termasuk suplemen dan produk herbal.","Dosis dan Aturan Pakai Zigat   Zigat hanya diperuntukkan bagi orang dewasa usia >18 tahun. Berikut adalah dosis Zigat pada kondisi yang umumnya membutuhkan obat ini: Kondisi: Bronkitis kronis yang memburuk karena infeksi bakteri Sinusitis akut Infeksi kulit dan jaringan kulit yang disertai komplikasi Pneumonia komunitas atau community acquired pneumonia (CAP) Penyakit radang panggul, termasuk salpingitis dan endometriosis Dosis: 1 tablet per hari. Lama pengobatan berkisar 5–21 hari, tergantung pada kondisi yang ditangani.","efek samping moxifloxacin terhadap janin, tetapi belum ada studi terkontrol pada ibu hamil. Zigat tidak boleh digunakan selama masa kehamilan. Zigat untuk ibu menyusui Zigat tidak direkomendasikan untuk ibu menyusui. Tanyakan kepada dokter mengenai pilihan antibiotik lain yang lebih aman digunakan selama masa menyusui.",Kondisi tertentu,Zigat
Zidovudine,Zidovudine adalah obat untuk mengatasi infeksi HIV. Obat ini juga bisa digunakan untuk menurunkan risiko terjadinya penularan HIV dari ibu hamil ke janinnya.,"Peringatan Sebelum Mengonsumsi Zidovudine Zidovudine tidak boleh digunakan sembarangan. Ada beberapa hal yang harus Anda perhatikan sebelum menggunakan obat ini, antara lain: Jangan mengonsumsi zidovudine bila memiliki alergi terhadap obat ini. Beri tahu dokter riwayat alergi yang Anda miliki. Beri tahu dokter jika pernah atau sedang menderita penyakit ginjal, gangguan pada otot, osteonecrosis atau avascular necrosis, obesitas, penyakit hati, seperti hepatitis B, hepatitis C, atau sirosis. Beri tahu dokter jika Anda mengalami kelainan sumsum tulang, anemia, maupun kekurangan asam folat atau vitamin B12. Jangan mengonsumsi minuman beralkohol selama menjalani pengobatan dengan obat ini. Beri tahu dokter jika Anda sering minum alkohol atau menderita kecanduan alkohol. Beri tahu dokter bahwa Anda sedang mengonsumsi zidovudine jika Anda direncanakan untuk menjalani operasi, termasuk operasi gigi.",Dosis dan Aturan Pakai Zidovudine Zidovudine hanya diberikan berdasarkan anjuran dokter.,"efek samping terhadap janin, tetapi belum ada studi terkontrol pada ibu hamil. Obat hanya boleh digunakan jika besarnya manfaat yang diharapkan melebihi besarnya risiko terhadap janin.Perlu diketahui bahwa virus HIV dapat menular ke janin jika ibu yang terinfeksi tidak mengonsumsi obat antivirus selama kehamilan.Zidovudine dapat terserap ke dalam ASI. Namun, ibu yang memiliki infeksi HIV tidak boleh menyusui untuk mencegah penularan. Oleh karena itu, pemberian zidovudine dapat dilakukan kecuali jika ada hambatan lain.",Infeksi HIV,"zidovudine Duviral, LamivudineZidovudine, ZDV, Zidovudine "
Zevask,Zevask adalah obat untuk menurunkan tekanan darah tinggi pada penderita hipertensi. Obat dengan kandungan amlodipine ini juga bisa digunakan untuk mencegah nyeri dada (angina pektoris) akibat penyakit jantung koroner.,"Peringatan Sebelum Mengonsumsi Zevask  Perlu diingat bahwa Zevask tidak boleh digunakan sembarangan dan harus sesuai resep dokter. Berikut adalah beberapa hal yang perlu Anda perhatikan sebelum mengonsumsi obat ini: Beri tahu dokter riwayat alergi yang Anda miliki. Zevask tidak boleh dikonsumsi oleh orang yang alergi terhadap obat ini. Beri tahu dokter jika Anda pernah atau sedang menderita penyempitan katup aorta jantung (stenosis aorta), tekanan darah rendah, gagal jantung kongestif, penyakit arteri koroner maupun serangan jantung, penyakit liver, atau penyakit ginjal. Jangan langsung berkendara atau melakukan aktivitas lain yang memerlukan kewaspadaan setelah mengonsumsi Zevask, karena obat ini dapat menyebabkan pusing. Jangan mengonsumsi minuman beralkohol selama menjalani pengobatan dengan Zevask, karena dapat meningkatkan risiko terjadinya efek samping. Beri tahu dokter jika kesulitan mengurangi konsumsi minuman beralkohol. Beri tahu dokter jika Anda sedang hamil, sedang merencanakan kehamilan, atau sedang menyusui. Informasikan kepada dokter bahwa Anda sedang menggunakan Zevask jika direncanakan untuk menjalani tindakan operasi, termasuk operasi gigi.","Dosis dan Aturan Pakai Zevask Dosis Zevask yang diberikan oleh dokter tergantung pada usia, kondisi kesehatan, dan respon tubuh pasien terhadap obat. Berikut ini adalah dosis umum Zevask untuk mengobati hipertensi atau angina pektoris: Dewasa: Dosis awal 5 mg, 1 kali sehari. Dosis dapat ditingkatkan menjadi 10 mg, 1 kali sehari sesuai dengan respon tubuh pasien terhadap obat. Anak-anak usia 6–17 tahun: Dosis awal 2,5 mg, 1 kali sehari. Dosis dapat ditingkatkan menjadi 5 mg, 1 kali sehari, setelah 4 minggu. Peningkatan dosis ditentukan berdasarkan respons pasien terhadap pengobatan.","efek samping terhadap janin, tetapi belum ada studi terkontrol pada ibu hamil. Obat ini hanya boleh digunakan jika besarnya manfaat yang diharapkan melebihi besarnya risiko terhadap janin. Kandungan amlodipine dalam Zevask dapat terserap ke dalam ASI. Bila Anda sedang menyusui, jangan menggunakan obat ini tanpa persetujuan dokter.",Hipertensi (tekanan darah tinggi),Zevask
Zentra,"Zentra adalah obat yang digunakan untuk meredakan bersin-bersin dan hidung tersumbat akibat pilek atau alergi. Obat ini juga dapat meringankan gejala sinusitis, seperti hidung terasa penuh dan berat serta batuk-batuk.","Peringatan sebelum Menggunakan Zentra  Zentra harus digunakan sesuai aturan pakai dan saran dari dokter. Perhatikan hal-hal berikut sebelum mengonsumsi obat ini: Beri tahu dokter mengenai riwayat alergi yang Anda miliki. Zentra tidak boleh dikonsumsi oleh orang yang alergi terhadap triprolidine, pseudoephedrine, ephedrine, atau phenylephrine. Beri tahu dokter jika menderita penyakit jantung atau hipertensi. Zentra tidak boleh digunakan oleh orang dengan kondisi tersebut. Informasikan kepada dokter jika pernah atau sedang menderita glaukoma, diabetes, fenilketonuria, tukak lambung, hipertiroidisme, pembengkakan prostat atau sulit buang air kecil, serta gangguan pernapasan akibat asma maupun emfisema. Pastikan untuk memberi tahu dokter jika Anda sedang hamil, menyusui, atau merencanakan kehamilan. Konsultasikan ke dokter bila Anda sedang menggunakan obat lain, termasuk suplemen dan produk herbal.",dosis tinggi dapat menurunkan produksi ASI. Konsultasikan ke dokter terkait alternatif obat pilek atau obat alergi yang lebih aman untuk ibu menyusui.,"efek samping terhadap janin, tetapi belum ada studi terkontrol pada ibu hamil. Zentra hanya boleh digunakan jika besarnya manfaat yang diharapkan melebihi besarnya risiko terhadap janin. Kandungan obat dalam Zentra dapat meningkatkan risiko terjadinya kelainan kongenital pada janin, seperti gastroschisis. Jangan mengonsumsi Zentra tanpa seizin dokter. Zentra untuk ibu menyusui Zentra umumnya aman dikonsumsi selama sesuai anjuran dokter.",Kondisi mental atau saraf,Zentra
Zemplar,Zemplar adalah obat untuk mengatasi atau mencegah hiperparatiroidisme sekunder dan kekurangan kalsium darah pada pasien gagal ginjal kronis. Obat ini tersedia dalam bentuk suntik yang penggunaannya harus dalam pengawasan dokter.,"Peringatan Sebelum Menggunakan Zemplar Berikut ini adalah beberapa hal yang harus Anda perhatikan sebelum menjalani pengobatan dengan Zemplar: Beri tahu dokter riwayat alergi yang Anda miliki. Zemplar tidak boleh digunakan oleh orang yang memiliki alergi terhadap paricalcitol. Beri tahu dokter jika Anda pernah atau sedang menderita tekanan darah tinggi, penyakit jantung, kejang, atau penyakit liver. Informasikan kepada dokter jika Anda mengalami gangguan elektrolit, misalnya kadar kalium atau magnesium yang rendah dalam tubuh. Beri tahu dokter jika Anda pernah mengalami hiperkalsemia atau kelebihan kadar vitamin D dalam darah. Beri tahu dokter jika Anda sedang hamil, menyusui, atau sedang merencanakan kehamilan. Jangan langsung mengemudi atau melakukan aktivitas lain yang memerlukan kewaspadaan setelah menggunakan Zemplar, karena obat ini dapat menyebabkan pusing. Informasikan kepada dokter bahwa Anda sedang menggunakan Zemplar jika direncanakan untuk menjalani tindakan medis apa pun, termasuk operasi gigi.","Dosis dan Aturan Pakai Zemplar Dosis Zemplar ditentukan berdasarkan berat badan dan kondisi pasien. Secara umum, berikut adalah dosis Zemplar: Tujuan: Mengatasi dan mencegah hiperparatiroidisme sekunder pada pasien gagal ginjal Dewasa: Dosis awal 0,04–0,1 mcg/kgBB, 3 kali per minggu, maksimal 40 mcg. Dosis harus disesuaikan tiap 2–4 minggu berdasarkan kadar fosfat, kalsium, dan iPTH dalam darah.","efek samping terhadap janin, tetapi belum ada studi terkontrol pada ibu hamil. Obat hanya boleh digunakan jika besarnya manfaat yang diharapkan melebihi besarnya risiko terhadap janin. Belum diketahui secara pasti apakah Zemplar dapat terserap ke dalam ASI. Jika sedang menyusui, jangan menggunakan obat ini tanpa izin dokter.",Hiperparatiroidisme sekunder pada pasien gagal ginjal kronis,Zemplar
Zelona,"Zelona adalah obat yang digunakan untuk mengatasi peradangan dan nyeri derajat ringan hingga sedang. Obat ini biasanya digunakan pada radang sendi, tetapi juga bisa digunakan untuk kondisi lain, seperti nyeri haid, cedera, atau nyeri setelah operasi.","Peringatan sebelum Mengonsumsi Zelona Sebelum menggunakan Zelona, ada beberapa hal yang perlu Anda perhatikan, yaitu: Beri tahu dokter tentang riwayat alergi yang dimiliki. Zelona tidak boleh diminum oleh orang yang alergi terhadap diclofenac atau obat lain dari golongan OAINS, seperti ibuprofen atau aspirin. Informasikan kepada dokter jika baru saja atau akan menjalani prosedur operasi bypass jantung. Zelona tidak boleh dikonsumsi oleh orang dengan kondisi tersebut. Beri tahu dokter jika memiliki riwayat serangan asma atau alergi berat setelah mengonsumsi aspirin atau obat lain yang juga dari golongan OAINS. Beri tahu dokter bila Anda memiliki penyakit jantung, hipertensi, serta riwayat serangan jantung maupun stroke. Beri tahu dokter jika Anda pernah atau sedang menderita tukak lambung, perdarahan saluran cerna, radang usus, lupus, anemia, polip hidung, porfiria, penyakit liver, dan penyakit ginjal. Diskusikan dengan dokter mengenai penggunaan obat ini jika sedang hamil, berencana untuk hamil, atau sedang menyusui. Konsultasikan dengan dokter perihal konsumsi Zelona jika sedang menggunakan obat lain, termasuk suplemen dan produk herbal.","Dosis dan Aturan Pakai Zelona Dosis dan aturan pakai Zelona yang diberikan oleh dokter kepada tiap pasien bisa berbeda-beda, tergantung pada usia dan kondisi yang ditangani. Berikut ini adalah rekomendasi dosis diclofenac yang terkandung dalam Zelona: Kondisi: Rheumatoid arthritis dan osteoarthritis  Dewasa: 50 mg, 3 kali sehari. Kondisi: Spondilitis ankilosa Dewasa: 25 mg, 4–5 kali sehari. Kondisi: Nyeri haid (dismenore) Dewasa: 50–100 mg, dikonsumsi sejak gejala awal muncul. Dosis dapat ditambah hingga maksimal 150 mg per hari jika masih perlu. Lama penggunaan 1–5 hari. Kondisi: Nyeri akut, seperti nyeri akibat cedera atau nyeri setelah operasi Dewasa: 100 mg, 1 kali. Bisa dilanjutkan sebanyak 50 mg setiap 8 jam jika masih diperlukan.","efek samping terhadap janin, tetapi belum ada studi terkontrol pada ibu hamil. Perlu diingat bahwa obat ini hanya boleh digunakan jika besarnya manfaat yang diharapkan melebihi besarnya risiko terhadap janin. Usia kehamilan ≥20 minggu Kategori D: Ada bukti bahwa kandungan obat berisiko terhadap janin manusia. Namun, obat dalam kategori ini masih mungkin digunakan ketika manfaat yang diperoleh lebih besar daripada risikonya, misalnya untuk mengatasi situasi yang mengancam nyawa. Zelona untuk ibu menyusui Obat ini dapat digunakan oleh ibu menyusui. Namun, sebaiknya diskusikan dengan dokter mengenai alternatif yang lebih aman, terutama jika bayi Anda terlahir prematur atau usianya belum genap 1 bulan.",Kondisi kulit atau alergi,Zelona
